Time (s),Thrust (N)
0.0,0.0
0.0001,2.2979740259740264
0.0002,4.595948051948053
0.00030000000000000003,6.893922077922079
0.0004,9.191896103896106
0.0005,11.48987012987013
0.0006000000000000001,13.787844155844159
0.0007,16.085818181818183
0.0008,18.38379220779221
0.0009000000000000001,20.681766233766236
0.001,22.97974025974026
0.0011,25.27771428571429
0.0012000000000000001,27.575688311688317
0.0013000000000000002,29.873662337662342
0.0014,32.17163636363637
0.0015,34.469610389610395
0.0016,36.76758441558442
0.0017000000000000001,39.065558441558444
0.0018000000000000002,41.36353246753247
0.0019,43.661506493506494
0.002,45.95948051948052
0.0021000000000000003,48.25745454545456
0.0022,50.55542857142858
0.0023,52.8534025974026
0.0024000000000000002,55.151376623376635
0.0025,57.449350649350656
0.0026000000000000003,59.747324675324684
0.0027,62.04529870129871
0.0028,64.34327272727273
0.0029000000000000002,66.64124675324676
0.003,68.93922077922079
0.0031000000000000003,71.23719480519482
0.0032,73.53516883116885
0.0033,75.83314285714286
0.0034000000000000002,78.13111688311689
0.0035,80.42909090909092
0.0036000000000000003,82.72706493506494
0.0037,85.02503896103897
0.0038,87.32301298701299
0.0039000000000000003,89.62098701298703
0.004,91.91896103896104
0.0041,94.21693506493509
0.004200000000000001,96.51490909090911
0.0043,98.81288311688313
0.0044,101.11085714285716
0.0045000000000000005,103.40883116883118
0.0046,105.7068051948052
0.0047,108.00477922077923
0.0048000000000000004,110.30275324675327
0.0049,112.60072727272728
0.005,114.89870129870131
0.0051,117.19667532467534
0.005200000000000001,119.49464935064937
0.0053,121.79262337662338
0.0054,124.09059740259742
0.0055000000000000005,126.38857142857145
0.0056,128.68654545454547
0.0057,130.9845194805195
0.0058000000000000005,133.28249350649352
0.0059,135.58046753246754
0.006,137.87844155844158
0.0061,140.1764155844156
0.006200000000000001,142.47438961038964
0.0063,144.77236363636365
0.0064,147.0703376623377
0.006500000000000001,149.3683116883117
0.0066,151.66628571428572
0.0067,153.96425974025976
0.0068000000000000005,156.26223376623378
0.006900000000000001,158.56020779220782
0.007,160.85818181818183
0.0071,163.15615584415588
0.007200000000000001,165.4541298701299
0.0073,167.7521038961039
0.0074,170.05007792207795
0.007500000000000001,172.348051948052
0.0076,174.64602597402597
0.0077,176.94400000000002
0.0078000000000000005,179.24197402597406
0.0079,181.53994805194807
0.008,183.8379220779221
0.0081,186.1358961038961
0.0082,188.43387012987017
0.0083,190.7318441558442
0.008400000000000001,193.02981818181823
0.0085,195.32779220779224
0.0086,197.62576623376626
0.008700000000000001,199.9237402597403
0.0088,202.2217142857143
0.0089,204.51968831168833
0.009000000000000001,206.81766233766237
0.0091,209.11563636363638
0.0092,211.4136103896104
0.009300000000000001,213.71158441558447
0.0094,216.00955844155845
0.0095,218.30753246753247
0.009600000000000001,220.60550649350654
0.0097,222.90348051948055
0.0098,225.20145454545457
0.0099,227.4994285714286
0.01,229.79740259740262
0.010100000000000001,232.09537662337667
0.0102,234.39335064935068
0.0103,236.6913246753247
0.010400000000000001,238.98929870129874
0.0105,241.28727272727275
0.0106,243.58524675324676
0.010700000000000001,245.88322077922084
0.0108,248.18119480519485
0.0109,250.47916883116886
0.011000000000000001,252.7771428571429
0.0111,255.07511688311692
0.0112,257.37309090909093
0.011300000000000001,259.671064935065
0.0114,261.969038961039
0.0115,264.267012987013
0.011600000000000001,266.56498701298705
0.0117,268.8629610389611
0.0118,271.1609350649351
0.0119,273.4589090909091
0.012,275.75688311688316
0.012100000000000001,278.0548571428572
0.0122,280.3528311688312
0.0123,282.65080519480523
0.012400000000000001,284.9487792207793
0.0125,287.24675324675326
0.0126,289.5447272727273
0.012700000000000001,291.84270129870134
0.0128,294.1406753246754
0.0129,296.43864935064937
0.013000000000000001,298.7366233766234
0.0131,301.03459740259746
0.0132,303.33257142857144
0.013300000000000001,305.6305454545455
0.0134,307.9285194805195
0.0135,310.2264935064935
0.013600000000000001,312.52446753246755
0.0137,314.8224415584416
0.013800000000000002,317.12041558441564
0.013900000000000001,319.4183896103897
0.014,321.71636363636367
0.014100000000000001,324.0143376623377
0.0142,326.31231168831175
0.0143,328.61028571428574
0.014400000000000001,330.9082597402598
0.0145,333.2062337662338
0.0146,335.5042077922078
0.014700000000000001,337.80218181818185
0.0148,340.1001558441559
0.0149,342.3981298701299
0.015000000000000001,344.696103896104
0.0151,346.99407792207796
0.0152,349.29205194805195
0.015300000000000001,351.59002597402605
0.0154,353.88800000000003
0.0155,356.1859740259741
0.015600000000000001,358.4839480519481
0.015700000000000002,360.78192207792216
0.0158,363.07989610389615
0.0159,365.3778701298702
0.016,367.6758441558442
0.0161,369.9738181818182
0.0162,372.2717922077922
0.016300000000000002,374.5697662337663
0.0164,376.86774025974034
0.0165,379.16571428571433
0.0166,381.4636883116884
0.0167,383.76166233766236
0.016800000000000002,386.05963636363646
0.016900000000000002,388.35761038961044
0.017,390.6555844155845
0.0171,392.95355844155847
0.0172,395.2515324675325
0.0173,397.5495064935065
0.017400000000000002,399.8474805194806
0.0175,402.14545454545464
0.0176,404.4434285714286
0.0177,406.7414025974026
0.0178,409.03937662337665
0.0179,411.33735064935064
0.018000000000000002,413.63532467532474
0.0181,415.9332987012988
0.0182,418.23127272727277
0.0183,420.5292467532468
0.0184,422.8272207792208
0.018500000000000003,425.1251948051949
0.018600000000000002,427.42316883116894
0.0187,429.7211428571429
0.0188,432.0191168831169
0.0189,434.31709090909095
0.019,436.61506493506494
0.019100000000000002,438.91303896103904
