Time (s),Thrust (N),Mass Flow Rate (kg/s)
0.0,0.0,0.0
0.0001,3.9925,0.002358075285441285
0.0002,7.985,0.00471615057088257
0.00030000000000000003,11.977500000000001,0.0070742258563238555
0.0004,15.97,0.00943230114176514
0.0005,19.962500000000002,0.011790376427206426
0.0006000000000000001,23.955000000000002,0.014148451712647711
0.0007,27.947499999999998,0.016506526998088994
0.0008,31.94,0.01886460228353028
0.0009000000000000001,35.932500000000005,0.021222677568971567
0.001,39.925000000000004,0.023580752854412853
0.0011,43.917500000000004,0.025938828139854136
0.0012000000000000001,47.910000000000004,0.028296903425295422
0.0013000000000000002,51.9025,0.030654978710736705
0.0014,55.894999999999996,0.03301305399617799
0.0015,59.8875,0.03537112928161928
0.0016,63.88,0.03772920456706056
0.0017000000000000001,67.8725,0.04008727985250184
0.0018000000000000002,71.86500000000001,0.04244535513794313
0.0019,75.8575,0.044803430423384416
0.002,79.85000000000001,0.047161505708825706
0.0021000000000000003,83.84250000000002,0.049519580994266996
0.0022,87.83500000000001,0.05187765627970827
0.0023,91.8275,0.054235731565149554
0.0024000000000000002,95.82000000000001,0.056593806850590844
0.0025,99.8125,0.05895188213603212
0.0026000000000000003,103.805,0.06130995742147341
0.0027,107.7975,0.06366803270691469
0.0028,111.78999999999999,0.06602610799235598
0.0029000000000000002,115.78250000000001,0.06838418327779727
0.003,119.775,0.07074225856323856
0.0031000000000000003,123.76750000000001,0.07310033384867984
0.0032,127.76,0.07545840913412112
0.0033,131.7525,0.0778164844195624
0.0034000000000000002,135.745,0.08017455970500369
0.0035,139.7375,0.08253263499044498
0.0036000000000000003,143.73000000000002,0.08489071027588627
0.0037,147.7225,0.08724878556132754
0.0038,151.715,0.08960686084676883
0.0039000000000000003,155.7075,0.09196493613221011
0.004,159.70000000000002,0.09432301141765141
0.0041,163.69250000000002,0.0966810867030927
0.004200000000000001,167.68500000000003,0.09903916198853399
0.0043,171.6775,0.10139723727397526
0.0044,175.67000000000002,0.10375531255941654
0.0045000000000000005,179.66250000000002,0.10611338784485784
0.0046,183.655,0.10847146313029911
0.0047,187.6475,0.11082953841574039
0.0048000000000000004,191.64000000000001,0.11318761370118169
0.0049,195.6325,0.11554568898662296
0.005,199.625,0.11790376427206424
0.0051,203.6175,0.12026183955750554
0.005200000000000001,207.61,0.12261991484294682
0.0053,211.6025,0.1249779901283881
0.0054,215.595,0.12733606541382939
0.0055000000000000005,219.58750000000003,0.12969414069927068
0.0056,223.57999999999998,0.13205221598471195
0.0057,227.57250000000002,0.13441029127015325
0.0058000000000000005,231.56500000000003,0.13676836655559454
0.0059,235.5575,0.13912644184103581
0.006,239.55,0.1414845171264771
0.0061,243.54250000000002,0.14384259241191838
0.006200000000000001,247.53500000000003,0.14620066769735968
0.0063,251.5275,0.14855874298280095
0.0064,255.52,0.15091681826824224
0.006500000000000001,259.51250000000005,0.15327489355368354
0.0066,263.505,0.1556329688391248
0.0067,267.4975,0.1579910441245661
0.0068000000000000005,271.49,0.16034911941000737
0.006900000000000001,275.4825,0.16270719469544867
0.007,279.475,0.16506526998088997
0.0071,283.46750000000003,0.16742334526633124
0.007200000000000001,287.46000000000004,0.16978142055177253
0.0073,291.4525,0.1721394958372138
0.0074,295.445,0.17449757112265507
0.007500000000000001,299.4375,0.17685564640809637
0.0076,303.43,0.17921372169353766
0.0077,307.4225,0.18157179697897896
0.0078000000000000005,311.415,0.18392987226442023
0.0079,315.4075,0.18628794754986153
0.008,319.40000000000003,0.18864602283530282
0.0081,323.3925,0.19100409812074406
0.0082,327.38500000000005,0.1933621734061854
0.0083,331.3775,0.19572024869162666
0.008400000000000001,335.37000000000006,0.19807832397706798
0.0085,339.3625,0.20043639926250922
0.0086,343.355,0.20279447454795052
0.008700000000000001,347.3475,0.20515254983339182
0.0088,351.34000000000003,0.2075106251188331
0.0089,355.3325,0.20986870040427436
0.009000000000000001,359.32500000000005,0.21222677568971568
0.0091,363.3175,0.21458485097515692
0.0092,367.31,0.21694292626059822
0.009300000000000001,371.30250000000007,0.21930100154603954
0.0094,375.295,0.22165907683148078
0.0095,379.28749999999997,0.22401715211692205
0.009600000000000001,383.28000000000003,0.22637522740236338
0.0097,387.27250000000004,0.22873330268780467
0.0098,391.265,0.23109137797324592
0.0099,395.25750000000005,0.23344945325868724
0.01,399.25,0.23580752854412848
0.010100000000000001,403.24250000000006,0.2381656038295698
0.0102,407.235,0.24052367911501107
0.0103,411.2275,0.24288175440045237
0.010400000000000001,415.22,0.24523982968589364
0.0105,419.21250000000003,0.24759790497133494
0.0106,423.205,0.2499559802567762
0.010700000000000001,427.19750000000005,0.25231405554221753
0.0108,431.19,0.25467213082765877
0.0109,435.1825,0.25703020611310007
0.011000000000000001,439.17500000000007,0.25938828139854136
0.0111,443.1675,0.26174635668398266
0.0112,447.15999999999997,0.2641044319694239
0.011300000000000001,451.15250000000003,0.2664625072548652
0.0114,455.14500000000004,0.2688205825403065
0.0115,459.1375,0.27117865782574774
0.011600000000000001,463.13000000000005,0.2735367331111891
0.0117,467.1225,0.27589480839663033
0.0118,471.115,0.27825288368207163
0.0119,475.1075,0.2806109589675129
0.012,479.1,0.2829690342529542
0.012100000000000001,483.09250000000003,0.2853271095383955
0.0122,487.08500000000004,0.28768518482383676
0.0123,491.0775,0.29004326010927806
0.012400000000000001,495.07000000000005,0.29240133539471935
0.0125,499.0625,0.2947594106801606
0.0126,503.055,0.2971174859656019
0.012700000000000001,507.04750000000007,0.29947556125104324
0.0128,511.04,0.3018336365364845
0.0129,515.0325,0.3041917118219258
0.013000000000000001,519.0250000000001,0.3065497871073671
0.0131,523.0175,0.3089078623928084
0.0132,527.01,0.3112659376782496
0.013300000000000001,531.0025,0.3136240129636909
0.0134,534.995,0.3159820882491322
0.0135,538.9875,0.31834016353457345
0.013600000000000001,542.98,0.32069823882001475
0.0137,546.9725,0.32305631410545604
0.013800000000000002,550.965,0.32541438939089734
0.013900000000000001,554.9575,0.3277724646763386
0.014,558.95,0.33013053996177993
0.014100000000000001,562.9425000000001,0.33248861524722123
0.0142,566.9350000000001,0.33484669053266247
0.0143,570.9275,0.33720476581810377
0.014400000000000001,574.9200000000001,0.33956284110354507
0.0145,578.9125,0.3419209163889863
0.0146,582.905,0.3442789916744276
0.014700000000000001,586.8975,0.3466370669598689
0.0148,590.89,0.34899514224531014
0.0149,594.8825,0.3513532175307515
0.015000000000000001,598.875,0.35371129281619273
0.0151,602.8675000000001,0.3560693681016341
0.0152,606.86,0.35842744338707533
0.015300000000000001,610.8525000000001,0.3607855186725166
0.0154,614.845,0.3631435939579579
0.0155,618.8375,0.36550166924339916
0.015600000000000001,622.83,0.36785974452884046
0.015700000000000002,626.8225000000001,0.3702178198142818
0.0158,630.815,0.37257589509972305
0.0159,634.8075,0.3749339703851643
0.016,638.8000000000001,0.37729204567060565
0.0161,642.7925,0.3796501209560469
0.0162,646.785,0.38200819624148813
0.016300000000000002,650.7775,0.3843662715269295
0.0164,654.7700000000001,0.3867243468123708
0.0165,658.7625,0.389082422097812
0.0166,662.755,0.3914404973832533
0.0167,666.7475,0.39379857266869456
0.016800000000000002,670.7400000000001,0.39615664795413597
0.016900000000000002,674.7325000000001,0.3985147232395772
0.017,678.725,0.40087279852501845
0.0171,682.7175,0.4032308738104597
0.0172,686.71,0.40558894909590104
0.0173,690.7025,0.4079470243813423
0.017400000000000002,694.695,0.41030509966678363
0.0175,698.6875000000001,0.41266317495222493
0.0176,702.6800000000001,0.4150212502376662
0.0177,706.6725,0.41737932552310747
0.0178,710.665,0.4197374008085487
0.0179,714.6574999999999,0.42209547609398995
0.018000000000000002,718.6500000000001,0.42445355137943136
0.0181,722.6425,0.4268116266648726
0.0182,726.635,0.42916970195031384
0.0183,730.6275,0.4315277772357552
0.0184,734.62,0.43388585252119644
0.018500000000000003,738.6125000000001,0.43624392780663773
0.018600000000000002,742.6050000000001,0.4386020030920791
0.0187,746.5975000000001,0.4409600783775203
0.0188,750.59,0.44331815366296157
0.0189,754.5825,0.44567622894840286
0.019,758.5749999999999,0.4480343042338441
0.019100000000000002,762.5675000000001,0.4503923795192855
0.019200000000000002,766.5600000000001,0.45275045480472675
0.0193,770.5525,0.455108530090168
0.0194,774.5450000000001,0.45746660537560935
0.0195,778.5375,0.4598246806610506
0.0196,782.53,0.46218275594649183
0.019700000000000002,786.5225,0.4645408312319331
0.0198,790.5150000000001,0.4668989065173745
0.0199,794.5075,0.4692569818028157
0.02,798.5,0.47161505708825696
0.0201,802.4925,0.47397313237369826
0.020200000000000003,806.4850000000001,0.4763312076591396
0.020300000000000002,810.4775000000001,0.4786892829445809
0.0204,814.47,0.48104735823002215
0.0205,818.4625000000001,0.48340543351546345
0.0206,822.455,0.48576350880090474
0.0207,826.4475,0.488121584086346
0.020800000000000003,830.44,0.4904796593717873
0.020900000000000002,834.4325000000001,0.49283773465722863
0.021,838.4250000000001,0.4951958099426699
0.0211,842.4175,0.4975538852281111
0.0212,846.41,0.4999119605135524
0.0213,850.4025,0.5022700357989938
0.021400000000000002,854.3950000000001,0.5046281110844351
0.021500000000000002,858.3875,0.5069861863698762
0.0216,862.38,0.5093442616553175
0.0217,866.3725000000001,0.5117023369407588
0.0218,870.365,0.5140604122262001
0.0219,874.3575,0.5164184875116413
0.022000000000000002,878.3500000000001,0.5187765627970827
0.0221,882.3425000000001,0.521134638082524
0.0222,886.335,0.5234927133679653
0.0223,890.3275,0.5258507886534065
0.0224,894.3199999999999,0.5282088639388478
0.022500000000000003,898.3125000000001,0.5305669392242892
0.022600000000000002,902.3050000000001,0.5329250145097304
0.0227,906.2975,0.5352830897951717
0.0228,910.2900000000001,0.537641165080613
0.0229,914.2825,0.5399992403660543
0.023,918.275,0.5423573156514955
0.023100000000000002,922.2675000000002,0.5447153909369369
0.023200000000000002,926.2600000000001,0.5470734662223782
0.0233,930.2525,0.5494315415078195
0.0234,934.245,0.5517896167932607
0.0235,938.2375,0.554147692078702
0.0236,942.23,0.5565057673641433
0.023700000000000002,946.2225000000001,0.5588638426495846
0.0238,950.215,0.5612219179350258
0.0239,954.2075000000001,0.5635799932204671
0.024,958.2,0.5659380685059084
0.0241,962.1925,0.5682961437913496
0.024200000000000003,966.1850000000001,0.570654219076791
0.024300000000000002,970.1775000000001,0.5730122943622323
0.0244,974.1700000000001,0.5753703696476735
0.0245,978.1625,0.5777284449331148
0.0246,982.155,0.5800865202185561
0.0247,986.1475,0.5824445955039974
0.024800000000000003,990.1400000000001,0.5848026707894387
0.024900000000000002,994.1325,0.58716074607488
0.025,998.125,0.5895188213603212
0.0251,1002.1175000000001,0.5918768966457626
0.0252,1006.11,0.5942349719312038
0.0253,1010.1025,0.5965930472166451
0.025400000000000002,1014.0950000000001,0.5989511225020865
0.025500000000000002,1018.0875000000001,0.6013091977875277
0.0256,1022.08,0.603667273072969
0.0257,1026.0725,0.6060253483584103
0.0258,1030.065,0.6083834236438516
0.025900000000000003,1034.0575000000001,0.6107414989292929
0.026000000000000002,1038.0500000000002,0.6130995742147342
0.0261,1042.0425,0.6154576495001753
0.0262,1046.035,0.6178157247856167
0.0263,1050.0275,0.6201738000710579
0.0264,1054.02,0.6225318753564992
0.026500000000000003,1058.0125,0.6248899506419405
0.026600000000000002,1062.005,0.6272480259273818
0.0267,1065.9975000000002,0.6296061012128232
0.0268,1069.99,0.6319641764982644
0.0269,1073.9825,0.6343222517837057
0.027,1077.975,0.6366803270691469
0.027100000000000003,1081.9675000000002,0.6390384023545883
0.027200000000000002,1085.96,0.6413964776400295
0.0273,1089.9525,0.6437545529254709
0.0274,1093.945,0.6461126282109121
0.0275,1097.9375,0.6484707034963534
0.027600000000000003,1101.93,0.6508287787817947
0.027700000000000002,1105.9225000000001,0.653186854067236
0.027800000000000002,1109.915,0.6555449293526772
0.0279,1113.9075,0.6579030046381185
0.028,1117.9,0.6602610799235599
0.0281,1121.8925,0.662619155209001
0.028200000000000003,1125.8850000000002,0.6649772304944425
0.028300000000000002,1129.8775,0.6673353057798836
0.0284,1133.8700000000001,0.6696933810653249
0.0285,1137.8625,0.6720514563507661
0.0286,1141.855,0.6744095316362075
0.0287,1145.8475,0.6767676069216488
0.028800000000000003,1149.8400000000001,0.6791256822070901
0.028900000000000002,1153.8325,0.6814837574925313
0.029,1157.825,0.6838418327779726
0.0291,1161.8175,0.686199908063414
0.0292,1165.81,0.6885579833488552
0.029300000000000003,1169.8025000000002,0.6909160586342966
0.029400000000000003,1173.795,0.6932741339197378
0.029500000000000002,1177.7875000000001,0.6956322092051791
0.0296,1181.78,0.6979902844906203
0.0297,1185.7725,0.7003483597760617
0.0298,1189.765,0.702706435061503
0.029900000000000003,1193.7575000000002,0.7050645103469443
0.030000000000000002,1197.75,0.7074225856323855
0.030100000000000002,1201.7425,0.7097806609178268
0.0302,1205.7350000000001,0.7121387362032682
0.0303,1209.7275,0.7144968114887094
0.0304,1213.72,0.7168548867741507
0.030500000000000003,1217.7125,0.719212962059592
0.030600000000000002,1221.7050000000002,0.7215710373450333
0.0307,1225.6975,0.7239291126304744
0.0308,1229.69,0.7262871879159158
0.0309,1233.6825000000001,0.7286452632013571
0.031,1237.675,0.7310033384867983
0.031100000000000003,1241.6675,0.7333614137722396
0.031200000000000002,1245.66,0.7357194890576809
0.0313,1249.6525000000001,0.7380775643431222
0.031400000000000004,1253.6450000000002,0.7404356396285636
0.0315,1257.6375,0.7427937149140048
0.0316,1261.63,0.7451517901994461
0.0317,1265.6225,0.7475098654848873
0.0318,1269.615,0.7498679407703286
0.031900000000000005,1273.6075000000003,0.7522260160557701
0.032,1277.6000000000001,0.7545840913412113
0.032100000000000004,1281.5925000000002,0.7569421666266526
0.0322,1285.585,0.7593002419120938
0.0323,1289.5775,0.7616583171975351
0.0324,1293.57,0.7640163924829763
0.0325,1297.5625,0.7663744677684176
0.032600000000000004,1301.555,0.768732543053859
0.0327,1305.5475,0.7710906183393001
0.0328,1309.5400000000002,0.7734486936247416
0.0329,1313.5325,0.7758067689101827
0.033,1317.525,0.778164844195624
0.033100000000000004,1321.5175000000002,0.7805229194810654
0.0332,1325.51,0.7828809947665066
0.0333,1329.5025,0.7852390700519479
0.0334,1333.495,0.7875971453373891
0.0335,1337.4875000000002,0.7899552206228305
0.033600000000000005,1341.4800000000002,0.7923132959082719
0.0337,1345.4725,0.7946713711937131
0.033800000000000004,1349.4650000000001,0.7970294464791544
0.0339,1353.4575,0.7993875217645956
0.034,1357.45,0.8017455970500369
0.0341,1361.4424999999999,0.8041036723354781
0.0342,1365.435,0.8064617476209194
0.034300000000000004,1369.4275000000002,0.8088198229063609
0.0344,1373.42,0.8111778981918021
0.0345,1377.4125000000001,0.8135359734772434
0.0346,1381.405,0.8158940487626846
0.0347,1385.3975,0.8182521240481259
0.034800000000000005,1389.39,0.8206101993335673
0.0349,1393.3825,0.8229682746190085
0.035,1397.3750000000002,0.8253263499044499
0.0351,1401.3675,0.827684425189891
0.0352,1405.3600000000001,0.8300425004753323
0.035300000000000005,1409.3525000000002,0.8324005757607736
0.0354,1413.345,0.8347586510462149
0.035500000000000004,1417.3375,0.8371167263316562
0.0356,1421.33,0.8394748016170974
0.0357,1425.3225,0.8418328769025387
0.0358,1429.3149999999998,0.8441909521879799
0.0359,1433.3075000000001,0.8465490274734213
0.036000000000000004,1437.3000000000002,0.8489071027588627
0.0361,1441.2925,0.8512651780443039
0.0362,1445.285,0.8536232533297452
0.0363,1449.2775,0.8559813286151864
0.0364,1453.27,0.8583394039006277
0.036500000000000005,1457.2625000000003,0.8606974791860692
0.0366,1461.255,0.8630555544715104
0.0367,1465.2475000000002,0.8654136297569517
0.0368,1469.24,0.8677717050423929
0.0369,1473.2325,0.8701297803278342
0.037000000000000005,1477.2250000000001,0.8724878556132755
0.0371,1481.2175,0.8748459308987167
0.037200000000000004,1485.2100000000003,0.8772040061841582
0.0373,1489.2025,0.8795620814695994
0.0374,1493.1950000000002,0.8819201567550407
0.0375,1497.1875,0.8842782320404818
0.0376,1501.18,0.8866363073259231
0.037700000000000004,1505.1725000000001,0.8889943826113645
0.0378,1509.165,0.8913524578968057
0.0379,1513.1575,0.893710533182247
0.038,1517.1499999999999,0.8960686084676882
0.0381,1515.38748,0.895027617897345
0.038200000000000005,1513.62496,0.8939866273270015
0.0383,1511.86244,0.8929456367566582
0.038400000000000004,1510.09992,0.8919046461863148
0.0385,1508.3374000000001,0.8908636556159714
0.0386,1506.5748800000001,0.889822665045628
0.038700000000000005,1504.81236,0.8887816744752846
0.0388,1503.0498400000001,0.8877406839049412
