# Launch Canada 2024 Drag Coefficients

# Simulation 6 (Up to date)
# 1324 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (125 ft/s)
#
# Drag force (N),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
40.037,0.485
39.576,0.485
39.06,0.484
38.794,0.484
38.366,0.484
38.004,0.484
37.727,0.484
37.339,0.484
36.951,0.484
36.517,0.483
36.096,0.483
35.662,0.483
35.428,0.483
34.942,0.483
34.543,0.483
34.199,0.482
33.842,0.482
33.604,0.482
33.207,0.482
32.732,0.482
32.396,0.482
32.139,0.482
31.862,0.481
31.536,0.481
31.038,0.481
30.88,0.481
30.675,0.481
30.447,0.481
30.132,0.481
29.721,0.481
29.338,0.48
29.107,0.48
28.791,0.48
28.528,0.48
28.198,0.48
27.873,0.48
27.618,0.48
27.301,0.48
27.031,0.479
26.816,0.479
26.506,0.479
26.328,0.479
25.982,0.479
25.684,0.479
25.421,0.479
25.148,0.479
24.841,0.478
24.616,0.478
24.275,0.478
23.928,0.478
23.666,0.478
23.504,0.478
23.263,0.478
23.065,0.478
22.769,0.478
22.467,0.477
22.232,0.477
22.077,0.477
21.846,0.477
21.601,0.477
21.275,0.477
20.979,0.477
20.801,0.477
20.631,0.477
20.424,0.477
20.141,0.476
19.924,0.476
19.834,0.476
19.702,0.476
19.484,0.476
19.248,0.476
18.943,0.476
18.664,0.476
18.45,0.476
18.211,0.476
18.106,0.475
17.761,0.475
17.422,0.475
17.277,0.475
17.04,0.475
16.806,0.475
16.589,0.475
16.409,0.475
16.181,0.475
15.979,0.474
15.729,0.474
15.517,0.474
15.318,0.474
15.246,0.474
15.138,0.474
15.004,0.474
14.852,0.474
14.87,0.474
14.593,0.474
14.542,0.474
14.367,0.474
14.215,0.474
14.058,0.474
13.872,0.473
13.565,0.473
13.489,0.473
13.307,0.473
13.311,0.473
13.111,0.473
12.956,0.473
12.796,0.473
12.649,0.473
12.61,0.473
12.432,0.473
12.229,0.473
12.028,0.473
11.934,0.473
11.698,0.472
11.513,0.472
11.348,0.472
11.187,0.472
11.022,0.472
10.889,0.472
10.665,0.472
10.556,0.472
10.4,0.472
10.22,0.472
10.123,0.472
9.938,0.472
9.825,0.472
9.719,0.472
9.771,0.472
9.667,0.471
9.544,0.471
9.612,0.471
9.458,0.471
9.386,0.471
9.262,0.471
9.092,0.471
8.986,0.471
8.799,0.471
8.674,0.471
8.669,0.471
8.588,0.471
8.648,0.471
8.47,0.471
8.36,0.471
8.297,0.471
8.132,0.471
8.052,0.471
7.995,0.471
7.938,0.471
7.892,0.471
7.707,0.471
7.645,0.471
7.551,0.47
7.367,0.47
7.316,0.47
7.224,0.47
7.189,0.47
7.048,0.47
6.973,0.47
6.974,0.47
6.872,0.47
6.844,0.47
6.752,0.47
6.728,0.47
6.719,0.47
6.654,0.47
6.614,0.47
6.5,0.47
6.385,0.47
6.347,0.47
6.315,0.47
6.257,0.47
6.293,0.47
6.168,0.47
6.118,0.47
5.917,0.47
5.858,0.47
5.824,0.47
5.802,0.47
5.842,0.47
5.752,0.47
5.785,0.47
5.724,0.47
5.597,0.47
5.684,0.47
5.647,0.47
5.639,0.47
5.525,0.469
5.482,0.469
5.407,0.469
5.287,0.469
5.295,0.469
5.24,0.469
5.207,0.469
5.162,0.469
5.042,0.469
5.094,0.469
5.107,0.469
5.071,0.469
5.075,0.469
5.081,0.469
5.012,0.469
4.99,0.469
5.037,0.469
4.862,0.469
4.733,0.469
4.727,0.469
4.686,0.469
